LinkedIn export

Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views,Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
our creative lead's desk 🤭 ,https://www.linkedin.com/feed/update/urn:li:activity:7402230859887730689,Organic,,Aarohi Gupta,12/04/2025,,,All followers,42475,,,3153,0.07423190027475357,321,33,3,,0.08263684809207916,
hum do humare do ❤️ ,https://www.linkedin.com/feed/update/urn:li:activity:7401869771782176768,Organic,,Aarohi Gupta,12/03/2025,,,All followers,7499,2074.0,,136,0.01813575066626072,52,13,2,,0.02707027643918991,Video
A reminder to be kind ❤️  ,https://www.linkedin.com/feed/update/urn:li:activity:7400064389690871808,Organic,,Aarohi Gupta,11/28/2025,,,All followers,60292,,,1237,0.02051681838929653,358,32,4,,0.027051681652665138,
"When fitness met horsepower.
#Hyfit2025 #CARS24xHyfit",https://www.linkedin.com/feed/update/urn:li:activity:7397522780470231040,Organic,,Aarohi Gupta,11/21/2025,,,All followers,18264,5255.0,,299,0.016371002420783043,64,13,0,,0.020586946979165077,Video
kho na jaayen ye taare zameen par 👶🏻,https://www.linkedin.com/feed/update/urn:li:activity:7397166848921772032,Organic,,Aarohi Gupta,11/20/2025,,,All followers,32919,,,14604,0.44363436102867126,293,4,1,,0.4526869058609009,
peak male gift 🎀 ,https://www.linkedin.com/feed/update/urn:li:activity:7396806955400355840,Organic,,Aarohi Gupta,11/19/2025,,,All followers,8842,,,230,0.02601221390068531,213,3,5,,0.051006559282541275,
Leke meri kaali kaali car darling aaun tere ghar ke main bahar darling🖤,https://www.linkedin.com/feed/update/urn:li:activity:7396424370753241088,Organic,,Aarohi Gupta,11/18/2025,,,All followers,11628,3919.0,,259,0.022273821756243706,69,10,1,,0.029153766110539436,Video
,https://www.linkedin.com/feed/update/urn:li:activity:7396151447630839808,Organic,,Prachi Sharma,11/17/2025,,,All followers,5970,11956.0,,57,0.00954773835837841,47,6,0,,0.018425460904836655,Article
Happy Children’s Day from us to you 💙 ,https://www.linkedin.com/feed/update/urn:li:activity:7395032896010543104,Organic,,Aarohi Gupta,11/14/2025,,,All followers,19219,,,5629,0.29288724064826965,234,10,0,,0.30558302998542786,
"Something that moved us deeply 💙 

Mr. Savdhan, a farmer from Banaskantha, a small district in Gujarat, lost his son and daughter-in-law in the recent Ahmedabad plane crash. His son had always dreamt of gifting him a white Nexon.

Last week, Savdhan ji travelled over 200 km to our hub to finally bring that car home. Our team made sure it was done with utmost care, dignity, and respect.

There isn’t much to say after seeing something like that. But it reminded us why we exist, to do the right thing for people, especially when it matters most.

Here’s to bringing better drives, better lives to life, in every way that truly counts",https://www.linkedin.com/feed/update/urn:li:activity:7394960235041435648,Organic,,Aarohi Gupta,11/14/2025,,,All followers,13151,7075.0,,283,0.02151927538216114,135,7,10,,0.03307733312249184,Video
"Got stumped by our own casting choices. Thanks, DK 🫠",https://www.linkedin.com/feed/update/urn:li:activity:7393883153636974593,Organic,,Aggra Pratap Singh,11/11/2025,,,All followers,13740,5427.0,,154,0.01120815146714449,219,26,8,,0.029621543362736702,Video
"Congratulations to Manoj Yadav on being elevated to CBO, India at CARS24. We all are ready with the list of crazy business ideas for your approval ✌🏻",https://www.linkedin.com/feed/update/urn:li:activity:7392110786132729858,Organic,,Aarohi Gupta,11/06/2025,,,All followers,17868,,,502,0.02809491753578186,377,63,0,,0.05271994695067406,
thankyou for making blue the happiest color in India today 🏆 ,https://www.linkedin.com/feed/update/urn:li:activity:7391030715506810881,Organic,,Aarohi Gupta,11/03/2025,,,All followers,9639,,,53,0.005498495884239674,108,18,0,,0.018570391461253166,
"For the world, he is Anurag Singh. 
But for us, he is Golu - the one everyone counts on. There is one line you will hear over and over again across the floor - “Golu hai na, sort ho jayega.”

For the past 4 years, he has been the quiet force behind it all, handling admin work, planning events, supporting employee engagement, and managing every last-minute request with a smile that never fades.

And when the rains pour and the city slows down, Golu doesn’t. He is the one out there at midnight making sure every Autonaut reaches home safely.

Thank you, Golu, for being the heart behind our hustle and the reason everything just…works💙",https://www.linkedin.com/feed/update/urn:li:activity:7389566399750311936,Organic,,Aarohi Gupta,10/30/2025,,,All followers,34984,,,591,0.016893437132239342,349,25,1,,0.02761262282729149,
do not disturb. driver is still in diwali mode 🙏 ,https://www.linkedin.com/feed/update/urn:li:activity:7387034522879664128,Organic,,Aarohi Gupta,10/23/2025,,,All followers,12707,,,48,0.003777445526793599,92,4,0,,0.011332336813211441,
