LinkedIn export

Date,Overview page views (desktop),Overview page views (mobile),Overview page views (total),Overview unique visitors (desktop),Overview unique visitors (mobile),Overview unique visitors (total),Life page views (desktop),Life page views (mobile),Life page views (total),Life unique visitors (desktop),Life unique visitors (mobile),Life unique visitors (total),Jobs page views (desktop),Jobs page views (mobile),Jobs page views (total),Jobs unique visitors (desktop),Jobs unique visitors (mobile),Jobs unique visitors (total),Total page views (desktop),Total page views (mobile),Total page views (total),Total unique visitors (desktop),Total unique visitors (mobile),Total unique visitors (total)
11/12/2025,258,473,731,195,362,554,0,0,0,0,0,0,82,473,555,71,298,368,578,1252,1830,210,499,706
11/13/2025,236,372,608,161,300,459,0,0,0,0,0,0,68,400,468,59,244,300,460,1027,1487,172,425,593
11/14/2025,226,352,578,159,275,431,0,0,0,0,0,0,73,406,479,63,242,303,443,990,1433,178,405,578
11/15/2025,148,287,435,85,205,290,0,0,0,0,0,0,53,289,342,41,170,211,248,791,1039,96,293,389
11/16/2025,84,316,400,67,239,303,0,0,0,0,0,0,47,374,421,37,216,253,190,874,1064,73,336,406
11/17/2025,225,327,552,154,261,415,0,0,0,0,0,0,74,491,565,64,262,326,468,1055,1523,173,402,572
11/18/2025,225,407,632,172,299,470,0,0,0,0,0,0,88,527,615,65,273,336,528,1234,1762,187,423,608
11/19/2025,334,497,831,246,389,633,0,0,0,0,0,0,138,506,644,113,324,436,686,1314,2000,265,540,800
11/20/2025,289,569,858,203,381,580,0,0,0,0,0,0,110,543,653,87,338,422,606,1520,2126,223,536,752
11/21/2025,165,381,546,129,290,416,0,0,0,0,0,0,60,369,429,46,243,286,351,987,1338,137,407,537
11/22/2025,100,226,326,71,189,258,0,0,0,0,0,0,43,260,303,33,157,190,190,639,829,79,261,338
11/23/2025,76,248,324,58,191,248,0,0,0,0,0,0,39,280,319,31,168,199,146,700,846,63,283,344
11/24/2025,212,381,593,160,289,446,0,0,0,0,0,0,61,420,481,49,238,284,430,1054,1484,172,407,573
11/25/2025,214,390,604,164,300,462,0,0,0,0,0,0,72,384,456,62,227,288,521,1008,1529,182,398,578
11/26/2025,261,329,590,181,255,434,0,0,0,0,0,0,100,400,500,75,228,302,597,934,1531,194,374,565
11/27/2025,207,360,567,138,282,417,0,0,0,0,0,0,61,322,383,48,196,243,422,970,1392,145,374,515
11/28/2025,216,330,546,153,255,406,0,0,0,0,0,0,64,342,406,51,231,282,468,962,1430,158,389,545
11/29/2025,125,260,385,84,178,260,0,0,0,0,0,0,37,211,248,29,137,165,215,622,837,90,248,336
11/30/2025,74,180,254,57,135,191,0,0,0,0,0,0,31,176,207,25,110,134,177,477,654,61,201,261
12/01/2025,166,279,445,130,227,354,0,0,0,0,0,0,63,306,369,50,197,246,411,816,1227,145,330,471
12/02/2025,204,376,580,155,292,447,0,0,0,0,0,0,87,483,570,75,298,373,482,1078,1560,175,463,638
12/03/2025,205,320,525,156,242,396,0,0,0,0,0,0,82,491,573,65,299,363,434,1072,1506,167,420,585
12/04/2025,236,310,546,172,249,420,0,0,0,0,0,0,92,489,581,77,302,378,459,1049,1508,195,458,652
12/05/2025,186,279,465,131,199,330,0,0,0,0,0,0,60,289,349,46,198,244,394,767,1161,139,323,462
12/06/2025,79,227,306,63,187,250,0,0,0,0,0,0,35,251,286,30,177,207,165,644,809,68,278,345
12/07/2025,55,259,314,41,182,223,0,0,0,0,0,0,27,222,249,22,164,186,101,635,736,45,268,313
12/08/2025,244,393,637,166,293,458,0,0,0,0,0,0,97,380,477,76,254,330,501,1047,1548,181,407,586
12/09/2025,208,357,565,144,265,405,0,0,0,0,0,0,77,297,374,59,211,267,588,920,1508,156,367,517
12/10/2025,207,297,504,147,238,383,0,0,0,0,0,0,70,294,364,52,192,243,423,798,1221,158,338,494
12/11/2025,211,398,609,138,312,447,0,0,0,0,0,0,83,302,385,62,210,271,472,967,1439,153,400,549
12/12/2025,172,378,550,112,278,389,0,0,0,0,0,0,56,403,459,50,242,292,356,1076,1432,128,417,544
12/13/2025,88,284,372,63,217,280,0,0,0,0,0,0,40,259,299,32,175,207,208,719,927,75,299,374
12/14/2025,95,236,331,68,186,252,0,0,0,0,0,0,44,286,330,33,192,224,219,705,924,75,296,369
12/15/2025,270,425,695,184,335,517,0,0,0,0,0,0,91,577,668,78,367,441,537,1324,1861,213,567,775
12/16/2025,273,386,659,169,289,456,0,0,0,0,0,0,90,481,571,78,323,401,560,1126,1686,193,499,689
12/17/2025,221,363,584,157,259,413,0,0,0,0,0,0,86,423,509,72,273,342,506,1077,1583,171,407,573
12/18/2025,192,317,509,140,242,382,0,0,0,0,0,0,60,402,462,53,264,316,524,926,1450,155,392,544
12/19/2025,161,241,402,126,195,320,0,0,0,0,0,0,64,338,402,50,212,261,311,764,1075,144,318,459
12/20/2025,85,236,321,70,165,234,0,0,0,0,0,0,48,218,266,37,150,186,189,659,848,80,264,342
12/21/2025,65,222,287,51,163,212,0,0,0,0,0,0,32,270,302,29,173,201,127,684,811,57,256,309
12/22/2025,324,713,1037,222,536,754,0,0,0,0,0,0,108,632,740,95,453,547,725,1884,2609,244,725,963
12/23/2025,261,440,701,181,340,520,0,0,0,0,0,0,106,444,550,80,309,388,575,1209,1784,194,489,681
12/24/2025,193,372,565,139,279,417,0,0,0,0,0,0,79,342,421,57,232,289,396,971,1367,146,382,526
12/25/2025,135,322,457,96,246,342,0,0,0,0,0,0,66,303,369,52,199,251,281,881,1162,104,352,456
12/26/2025,169,363,532,134,278,411,0,0,0,0,0,0,68,330,398,59,232,291,313,974,1287,145,395,539
12/27/2025,106,289,395,72,228,300,0,0,0,0,0,0,42,293,335,32,204,236,211,792,1003,80,321,401
12/28/2025,77,237,314,58,193,251,0,0,0,0,0,0,30,253,283,27,176,202,170,702,872,61,281,341
12/29/2025,197,315,512,135,243,377,0,0,0,0,0,0,65,270,335,57,192,248,463,801,1264,147,340,486
12/30/2025,267,413,680,188,326,512,0,0,0,0,0,0,104,558,662,87,351,435,553,1320,1873,221,547,763
12/31/2025,165,254,419,90,199,286,0,0,0,0,0,0,48,293,341,44,201,245,339,750,1089,98,336,430
01/01/2026,94,228,322,57,178,234,0,0,0,0,0,0,37,289,326,32,191,223,165,692,857,64,300,363
01/02/2026,274,670,944,182,525,707,0,0,0,0,0,0,75,461,536,62,313,375,586,1518,2104,193,668,860
01/03/2026,193,503,696,134,399,528,0,0,0,0,0,0,97,455,552,78,305,382,366,1229,1595,149,552,696
01/04/2026,140,320,460,100,269,368,0,0,0,0,0,0,62,366,428,48,264,312,305,954,1259,111,416,525
01/05/2026,303,457,760,211,348,557,0,0,0,0,0,0,121,448,569,93,321,414,654,1236,1890,225,512,735
01/06/2026,382,709,1091,285,517,797,0,0,0,0,0,0,101,479,580,83,341,423,736,1602,2338,304,676,974
01/07/2026,281,499,780,207,388,591,0,0,0,0,0,0,109,511,620,91,329,419,553,1360,1913,216,531,742
01/08/2026,280,442,722,180,349,527,0,0,0,0,0,0,82,515,597,69,334,402,523,1282,1805,190,527,715
01/09/2026,223,378,601,160,299,458,0,0,0,0,0,0,85,472,557,71,310,381,479,1134,1613,173,471,642
01/10/2026,123,356,479,88,266,351,0,0,0,0,0,0,58,372,430,47,237,284,273,1014,1287,97,406,500
01/11/2026,121,478,599,95,383,473,0,0,0,0,0,0,55,451,506,47,314,359,327,1265,1592,101,517,612
01/12/2026,374,514,888,252,412,661,0,0,0,0,0,0,131,488,619,99,350,448,882,1381,2263,266,569,830
01/13/2026,301,582,883,221,424,641,0,0,0,0,0,0,135,546,681,108,367,475,636,1560,2196,233,579,808
01/14/2026,230,404,634,166,304,468,0,0,0,0,0,0,73,428,501,59,294,352,498,1098,1596,176,455,627
01/15/2026,301,509,810,192,375,564,0,0,0,0,0,0,102,488,590,76,311,384,695,1310,2005,204,538,737
01/16/2026,263,451,714,193,344,535,0,0,0,0,0,0,93,565,658,72,339,408,567,1350,1917,205,540,737
01/17/2026,119,382,501,94,310,402,0,0,0,0,0,0,69,478,547,56,291,346,264,1158,1422,106,485,589
01/18/2026,145,396,541,104,308,411,0,0,0,0,0,0,109,538,647,83,361,443,402,1243,1645,131,555,682
01/19/2026,325,497,822,225,378,599,0,0,0,0,0,0,131,662,793,106,414,517,738,1513,2251,255,613,861
01/20/2026,255,401,656,197,325,518,0,0,0,0,0,0,93,480,573,73,324,396,628,1194,1822,215,515,726
01/21/2026,299,486,785,208,389,593,0,0,0,0,0,0,113,496,609,92,330,420,651,1355,2006,232,549,776
01/22/2026,295,438,733,184,339,521,0,0,0,0,0,0,89,388,477,81,265,344,683,1173,1856,203,475,672
01/23/2026,164,315,479,132,251,382,0,0,0,0,0,0,55,431,486,46,255,300,368,995,1363,153,394,544
01/24/2026,119,293,412,86,226,311,0,0,0,0,0,0,75,324,399,60,223,280,300,797,1097,97,350,443
01/25/2026,71,218,289,47,183,229,0,0,0,0,0,0,32,294,326,26,191,216,189,630,819,53,292,344
01/26/2026,127,278,405,102,213,311,0,0,0,0,0,0,57,292,349,51,189,239,320,751,1071,110,317,422
01/27/2026,251,626,877,197,470,666,0,0,0,0,0,0,93,578,671,81,363,444,544,1630,2174,226,663,887
01/28/2026,381,707,1088,257,530,780,0,0,0,0,0,0,128,635,763,108,406,510,783,1899,2682,277,715,984
01/29/2026,214,447,661,163,349,510,0,0,0,0,0,0,75,492,567,65,326,390,549,1276,1825,192,537,725
01/30/2026,215,382,597,153,292,442,0,0,0,0,0,0,75,448,523,64,279,343,510,1192,1702,175,453,623
01/31/2026,176,432,608,129,327,454,0,0,0,0,0,0,79,372,451,69,275,343,375,1141,1516,136,443,577
02/01/2026,124,379,503,87,287,371,0,0,0,0,0,0,58,377,435,50,271,320,252,1012,1264,102,422,520
02/02/2026,294,422,716,201,309,508,0,0,0,0,0,0,113,395,508,90,282,370,656,1067,1723,226,437,659
02/03/2026,292,469,761,213,357,569,0,0,0,0,0,0,107,591,698,84,397,480,627,1400,2027,234,604,836
02/04/2026,208,383,591,148,301,445,0,0,0,0,0,0,80,510,590,68,329,393,439,1189,1628,170,484,647
02/05/2026,215,394,609,154,300,453,0,0,0,0,0,0,74,504,578,65,299,363,504,1281,1785,180,469,645
02/06/2026,188,369,557,140,274,412,0,0,0,0,0,0,61,400,461,51,239,289,421,1160,1581,163,431,591
02/07/2026,148,316,464,96,232,328,0,0,0,0,0,0,51,349,400,42,205,246,309,1014,1323,107,380,486
02/08/2026,139,335,474,92,271,360,0,0,0,0,0,0,63,360,423,48,217,263,251,973,1224,98,367,461
02/09/2026,570,1283,1853,421,935,1352,0,0,0,0,0,0,131,927,1058,113,562,674,1025,3178,4203,461,1313,1767
02/10/2026,308,740,1048,233,547,778,0,0,0,0,0,0,106,522,628,88,320,406,591,1776,2367,267,750,1015
02/11/2026,259,568,827,188,400,586,0,0,0,0,0,0,84,534,618,68,325,392,592,1578,2170,218,581,795
02/12/2026,239,448,687,169,327,493,0,0,0,0,0,0,87,390,477,74,271,344,515,1181,1696,191,475,663
02/13/2026,219,420,639,157,322,477,0,0,0,0,0,0,60,367,427,50,269,317,432,1091,1523,179,482,658
02/14/2026,103,257,360,61,205,266,0,0,0,0,0,0,31,249,280,27,169,196,205,714,919,70,311,381
02/15/2026,58,223,281,49,170,219,0,0,0,0,0,0,37,283,320,30,204,233,131,698,829,64,311,373
